Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location


Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Agriculture / Pêche / Navigation,Maroc

Unimer,Responsable Commercial Junior,https://www.m-job.ma/offres-emploi/114097-responsable-commercial-junior-casablanca,Expérience exigée dans l'industrie d'agroalimentaire,Français,Société d'agroalimentaire cherche un Responsable Commercial Junior. Votre mission principale consiste à et mettre en œuvre la politique commerciale de la Société. Vous assurez aussi le développement commercial et le suivi des résultats ainsi que le management et le recrutement de l’équipe commerciale.,CDI,Agriculture / Pêche / Navigation,Responsable Commercial Junior,Junior (de 3 à 5 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 2 mois avant sur le site.,Agriculture / Pêche / Navigation,Casablanca

AGR LORA,Développeur informatique Application Mobile Flutter.,https://www.m-job.ma/offres-emploi/113757-developpeur-informatique-application-mobile-flutter-rabat,Developpeur agent technique OU INGENIEUR INFORMATIQUE,Français,Développeur informatique Application Mobile Flutter. Nous recrutons des développeurs informatiques (H/F) expérimentés (un an d'expérience minimum) connaissance GitLap autonomie et innovation. Domaine : Informatique / Multimédia / Internet Fonction : Informatique - Développement Contrat : A discuter Entreprise : AGRO CONCEPT Salaire : A discuter Niveau d'études : Bac plus2 ET PLUS,CDI,Agriculture / Pêche / Navigation,Bac + 2 et plus,Junior (de 3 à 5 ans),BAC+3,A négocier,L'offre a été publiée il y a 4 mois avant sur le site.,Agriculture / Pêche / Navigation,Rabat

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,Commerce,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Architecture / Urbanisme / Environnement,Maroc

